year,1st,2nd,3rd
I (1927),"Lev Oborin Soviet Union","Stanisław Szpinalski Poland","Róża Etkin - Poland"
II (1932),"Alexander Uninsky (c) - Soviet Union","Imre Ungár (c) - Hungary","Bolesław Kon - Poland"
III (1937),"Yakov Zak - Soviet Union","Rosa Tamarkina - Soviet Union","Witold Małcużyński - Poland"
IV (1949),"Bella Davidovich - Soviet Union","Barbara Hesse-Bukowska - Poland","Waldemar Maciszewski - Poland"
,"Halina Czerny-Stefańska - Poland (tie)",,
V (1955),"Adam Harasiewicz - Poland","Vladimir Ashkenazy - Soviet Union","Fou Ts'ong - China"
VI (1960),"Maurizio Pollini - Italy","Irina Zaritskaya - Soviet Union","Tania Achot-Haroutounian - Iran"
VII (1965),"Martha Argerich - Argentina","Arthur Moreira Lima - Brazil","Marta Sosińska - Poland"
VIII (1970),"Garrick Ohlsson - United States","Mitsuko Uchida - Japan","Piotr Paleczny - Poland"
IX (1975),"Krystian Zimerman - Poland","Dina Joffe - Soviet Union","Tatyana Fedkina - Soviet Union"
X (1980),"Dang Thai Son - Vietnam","Tatyana Shebanova - Soviet Union","Arutyun Papazyan - Soviet Union"
XI (1985),"Stanislav Bunin - Soviet Union","Marc Laforet - France","Krzysztof Jabłoński - Poland"
XII (1990),Not awarded,"Kevin Kenner - United States","Yukio Yokoyama - Japan"
XIII (1995),Not awarded,"Philippe Giusiano - France","Gabriela Montero - Venezuela"
,,"Alexei Sultanov - Uzbekistan (tie)",
XIV (2000),"Yundi Li - China","Ingrid Fliter - Argentina","Alexander Kobrin - Russia"
XV (2005),"Rafał Blechacz - Poland",Not awarded,"Dong-Hyek Lim - South Korea"
,,,"Dong-Min Lim - South Korea (tie)"
XVI (2010),"Yulianna Avdeeva - Russia","Lukas Geniušas - Russia Lithuania","Daniil Trifonov - Russia"
,,"Ingolf Wunder - Austria (tie)",
XVII (2015),"Seong-Jin Cho - South Korea","Charles Richard -Hamelin - Canada","Kate Liu - United States"
XVIII (2021),"Bruce Liu - Canada","Kyohei Sorita - Japan","Martín García García - Spain"
,,"Alexander Gadjiev - Italy Slovenia (tie)",
