year,Position,Name,Country,Gender
1927,3rd,Róża Etkin,Poland,female
1932,1st,Alexander Uninsky (c),Soviet Union,male
1932,2nd,Imre Ungár (c),Hungary,male
1932,3rd,Bolesław Kon,Poland,male
1937,1st,Yakov Zak,Soviet Union,male
1937,2nd,Rosa Tamarkina,Soviet Union,female
1937,3rd,Witold Małcużyński,Poland,male
1949,1st,Bella Davidovich,Soviet Union,female
1949,2nd,Barbara Hesse-Bukowska,Poland,female
1949,3rd,Waldemar Maciszewski,Poland,male
1955,1st,Adam Harasiewicz,Poland,male
1955,2nd,Vladimir Ashkenazy,Soviet Union,male
1955,3rd,Fou Ts'ong,China,male
1960,1st,Maurizio Pollini,Italy,male
1960,2nd,Irina Zaritskaya,Soviet Union,female
1960,3rd,Tania Achot-Haroutounian,Iran,female
1965,1st,Martha Argerich,Argentina,female
1965,2nd,Arthur Moreira Lima,Brazil,male
1965,3rd,Marta Sosińska,Poland,female
1970,1st,Garrick Ohlsson,United States,male
1970,2nd,Mitsuko Uchida,Japan,female
1970,3rd,Piotr Paleczny,Poland,male
1975,1st,Krystian Zimerman,Poland,male
1975,2nd,Dina Joffe,Soviet Union,female
1975,3rd,Tatyana Fedkina,Soviet Union,female
1980,1st,Dang Thai Son,Vietnam,male
1980,2nd,Tatyana Shebanova,Soviet Union,female
1980,3rd,Arutyun Papazyan,Soviet Union,male
1985,1st,Stanislav Bunin,Soviet Union,male
1985,2nd,Marc Laforet,France,male
1985,3rd,Krzysztof Jabłoński,Poland,male
1990,2nd,Kevin Kenner,United States,male
1990,3rd,Yukio Yokoyama,Japan,male
1995,2nd,Philippe Giusiano,France,male
1995,3rd,Gabriela Montero,Venezuela,female
2000,1st,Yundi Li,China,male
2000,2nd,Ingrid Fliter,Argentina,female
2000,3rd,Alexander Kobrin,Russia,male
2005,1st,Rafał Blechacz,Poland,male
2005,3rd,Dong-Hyek Lim,South Korea,male
2010,1st,Yulianna Avdeeva,Russia,female
2010,2nd,Lukas Geniušas,Russia Lithuania,male
2010,3rd,Daniil Trifonov,Russia,male
2015,1st,Seong-Jin Cho,South Korea,male
2015,2nd,Charles Richard -Hamelin,Canada,male
2015,3rd,Kate Liu,United States,female
2021,1st,Bruce Liu,Canada,male
2021,2nd,Kyohei Sorita,Japan,male
2021,3rd,Martín García García,Spain,male
